Case,Part,Position,Location,Layers
Fasteners / Inserts,25mm Screws,1,F4,2
Workshop,5mm Screws,1,E4,2
Electronics,Drill Bits,1,"B5,C5",2
Welding,M3 15mm,1,B1,3
Fasteners / Inserts,M3 25mm,1,C1,2
Fasteners / Inserts,M3 45+mm,1,D1,2
Fasteners / Inserts,M3 8mm,1,A1,2
Fasteners / Inserts,M3 Threads,1,E1,2
Fasteners / Inserts,M4 10mm,1,B2,2
Fasteners / Inserts,M4 14mm,1,C2,2
Fasteners / Inserts,M4 25mm,1,A2,2
Fasteners / Inserts,M4 45+mm,1,D2,2
Fasteners / Inserts,M4 Wingnut,1,E2,2
Fasteners / Inserts,M5 25mm,1,A3,2
Fasteners / Inserts,M5 40+mm,1,"B3,C3",2
Fasteners / Inserts,M5 8mm,1,G2,2
Fasteners / Inserts,M6 20mm,1,D3,2
Fasteners / Inserts,M6 45mm,1,E3,2
Welding,M6 Locknut,1,A4,3
Fasteners / Inserts,M6 Wingnut,1,B4,2
Fasteners / Inserts,Micro Screws,1,D4,2
Fasteners / Inserts,Misc Imperial,1,A5,2
Fasteners / Inserts,Misc Washers,1,C4,2
Fasteners / Inserts,Screws Large,1,A6,2
Fasteners / Inserts,Shaft Collars,1,F2,2
Fasteners / Inserts,10mm Screws,2,G4,2
Fasteners / Inserts,15mm Screws,2,A5,2
Fasteners / Inserts,20mm Screws,2,H4,2
Fasteners / Inserts,30mm Screws,2,B5,2
Fasteners / Inserts,35mm Screws,2,C5,2
Fasteners / Inserts,Allen Keys,2,F5,2
Fasteners / Inserts,Ball Sockets,2,H5,2
Fasteners / Inserts,Bearings,2,I5,2
Fasteners / Inserts,EZ Connect,2,G3,2
Fasteners / Inserts,Grub Screws,2,F4,2
Fasteners / Inserts,IKEA,2,D5,2
Fasteners / Inserts,M3 20mm,2,B1,2
Fasteners / Inserts,M3 30mm,2,C1,2
Fasteners / Inserts,M3 5mm,2,A1,2
Fasteners / Inserts,M3 Inserts,2,G1,2
Fasteners / Inserts,M3 Locknut,2,E1,2
Fasteners / Inserts,M3 Nut,2,D1,2
Fasteners / Inserts,M3 Wingnut,2,F1,2
Fasteners / Inserts,M4 12mm,2,B2,2
Fasteners / Inserts,M4 16mm,2,C2,2
Fasteners / Inserts,M4 30mm,2,A2,2
Fasteners / Inserts,M4 Inserts,2,G2,2
Fasteners / Inserts,M4 Locknut,2,F2,2
Fasteners / Inserts,M4 Nut,2,E2,2
Fasteners / Inserts,M4 Washer,2,D2,2
Fasteners / Inserts,M5 20mm,2,H2,2
Fasteners / Inserts,M5 30mm,2,A3,2
Fasteners / Inserts,M5 Nut,2,C3,2
Fasteners / Inserts,M5 Washer,2,B3,2
Fasteners / Inserts,M5 Wingnut,2,D3,2
Fasteners / Inserts,M6 30mm,2,E3,2
Fasteners / Inserts,M6 35mm,2,F3,2
Fasteners / Inserts,M6 60+ mm,2,"H3,I3",2
Fasteners / Inserts,M6 Nut,2,A4,2
Fasteners / Inserts,M6 Washer,2,B4,2
Fasteners / Inserts,M8 Misc,2,C4,2
Fasteners / Inserts,Metal Taps,2,G5,2
Fasteners / Inserts,Nails,2,D4,2
Fasteners / Inserts,Pc Screws etc,2,E4,2
Fasteners / Inserts,Universal Joint,2,E5,2
Fasteners / Inserts,Wire Ferrules,2,I4,2
